ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2022,"2022",6192080,22306,"United States","01000US","united-states",0.04924653731606165
1,"$10,000-$14,999",2022,"2022",4743710,20611,"United States","01000US","united-states",0.03772743432442326
2,"$15,000-$19,999",2022,"2022",4235151,17229,"United States","01000US","united-states",0.03368278862040797
3,"$20,000-$24,999",2022,"2022",4587937,18658,"United States","01000US","united-states",0.03648854838345757
4,"$25,000-$29,999",2022,"2022",4701374,19434,"United States","01000US","united-states",0.037390729791566324
5,"$30,000-$34,999",2022,"2022",4608052,17944,"United States","01000US","united-states",0.03664852598357136
6,"$35,000-$39,999",2022,"2022",4479480,17112,"United States","01000US","united-states",0.03562597365934417
7,"$40,000-$44,999",2022,"2022",4465681,17575,"United States","01000US","united-states",0.03551622815081967
8,"$45,000-$49,999",2022,"2022",4518761,18906,"United States","01000US","united-states",0.03593838132079431
9,"$50,000-$59,999",2022,"2022",8700174,23712,"United States","01000US","united-states",0.06919378359892465
10,"$60,000-$74,999",2022,"2022",11528244,30460.000000000004,"United States","01000US","united-states",0.09168584681313287
11,"$75,000-$99,999",2022,"2022",16085302,41834,"United States","01000US","united-states",0.127928809896371
12,"$100,000-$124,999",2022,"2022",12442523,43284,"United States","01000US","united-states",0.09895724429036049
13,"$125,000-$149,999",2022,"2022",9024401,41755,"United States","01000US","united-states",0.07177240936835506
14,"$150,000-$199,999",2022,"2022",11075396,50946,"United States","01000US","united-states",0.08808427901515482
15,"$200,000+",2022,"2022",14348087,70248,"United States","01000US","united-states",0.1141124794672548
0,"< $10,000",2021,"2021",6835028,25393,"United States","01000US","united-states",0.05511630775439648
1,"$10,000-$14,999",2021,"2021",4848344,17701,"United States","01000US","united-states",0.03909608270853926
2,"$15,000-$19,999",2021,"2021",4672903,17092,"United States","01000US","united-states",0.037681361342549374
3,"$20,000-$24,999",2021,"2021",4947418,19661,"United States","01000US","united-states",0.03989499575973072
4,"$25,000-$29,999",2021,"2021",5044233,20052,"United States","01000US","united-states",0.04067569268375823
5,"$30,000-$34,999",2021,"2021",5096729,17836,"United States","01000US","united-states",0.041099009997436355
6,"$35,000-$39,999",2021,"2021",4799326,20297,"United States","01000US","united-states",0.038700811295824485
7,"$40,000-$44,999",2021,"2021",4968184,18951,"United States","01000US","united-states",0.04006244865777705
8,"$45,000-$49,999",2021,"2021",4395258,19365,"United States","01000US","united-states",0.035442487227261274
9,"$50,000-$59,999",2021,"2021",8982113,24548,"United States","01000US","united-states",0.07242997459451014
10,"$60,000-$74,999",2021,"2021",11863218,31009.000000000004,"United States","01000US","united-states",0.09566263287370526
11,"$75,000-$99,999",2021,"2021",15895589,44008,"United States","01000US","united-states",0.12817887143423545
12,"$100,000-$124,999",2021,"2021",11904114,48316,"United States","01000US","united-states",0.09599241009216344
13,"$125,000-$149,999",2021,"2021",8333858,41998,"United States","01000US","united-states",0.06720257507495787
14,"$150,000-$199,999",2021,"2021",9694986,42381,"United States","01000US","united-states",0.07817844082724539
15,"$200,000+",2021,"2021",11729691,59924.00000000001,"United States","01000US","united-states",0.09458589767590925
0,"< $10,000",2020,"2020",7145751,24748,"United States","01000US","united-states",0.05840216265856758
1,"$10,000-$14,999",2020,"2020",5020097,17141,"United States","01000US","united-states",0.04102921044349112
2,"$15,000-$19,999",2020,"2020",5030224,16026,"United States","01000US","united-states",0.04111197832908402
3,"$20,000-$24,999",2020,"2020",5329476,20676,"United States","01000US","united-states",0.04355776240131123
4,"$25,000-$29,999",2020,"2020",5187269,18811,"United States","01000US","united-states",0.04239550578962872
5,"$30,000-$34,999",2020,"2020",5382215,20154,"United States","01000US","united-states",0.043988797803531404
6,"$35,000-$39,999",2020,"2020",4960174,20596,"United States","01000US","united-states",0.04053946026985796
7,"$40,000-$44,999",2020,"2020",5128434,16706,"United States","01000US","united-states",0.041914647830819794
8,"$45,000-$49,999",2020,"2020",4601774,18581,"United States","01000US","united-states",0.037610260092461545
9,"$50,000-$59,999",2020,"2020",9122890,26253,"United States","01000US","united-states",0.0745613030311607
10,"$60,000-$74,999",2020,"2020",11911889,32548,"United States","01000US","united-states",0.09735576833684828
11,"$75,000-$99,999",2020,"2020",15613243,47722,"United States","01000US","united-states",0.1276069033630953
12,"$100,000-$124,999",2020,"2020",11455250,46295,"United States","01000US","united-states",0.09362366164096066
13,"$125,000-$149,999",2020,"2020",7673688,38871,"United States","01000US","united-states",0.06271698730715612
14,"$150,000-$199,999",2020,"2020",8688154,41715,"United States","01000US","united-states",0.07100820936955186
15,"$200,000+",2020,"2020",10103691,51548,"United States","01000US","united-states",0.0825773813324737
0,"< $10,000",2019,"2019",7302871,18046,"United States","01000US","united-states",0.06047623386946217
1,"$10,000-$14,999",2019,"2019",5189583,15224,"United States","01000US","united-states",0.04297576051842968
2,"$15,000-$19,999",2019,"2019",5300624,15337,"United States","01000US","united-states",0.04389530866396025
3,"$20,000-$24,999",2019,"2019",5459520,16244,"United States","01000US","united-states",0.04521115166008083
4,"$25,000-$29,999",2019,"2019",5285952,16670,"United States","01000US","united-states",0.043773807503206794
5,"$30,000-$34,999",2019,"2019",5506182,18565,"United States","01000US","united-states",0.04559756708831677
6,"$35,000-$39,999",2019,"2019",5093804,14176,"United States","01000US","united-states",0.04218259941729792
7,"$40,000-$44,999",2019,"2019",5081209,16048.000000000002,"United States","01000US","united-states",0.042078298223207834
8,"$45,000-$49,999",2019,"2019",4647032,14255,"United States","01000US","united-states",0.038482809573231476
9,"$50,000-$59,999",2019,"2019",9090005,22946,"United States","01000US","united-states",0.07527577417902911
10,"$60,000-$74,999",2019,"2019",11699885,30719,"United States","01000US","united-states",0.09688860470160468
11,"$75,000-$99,999",2019,"2019",15374617,51444,"United States","01000US","united-states",0.12731964365047788
12,"$100,000-$124,999",2019,"2019",11019036,49867,"United States","01000US","united-states",0.09125038606761957
13,"$125,000-$149,999",2019,"2019",7267775,40108,"United States","01000US","united-states",0.06018559832299249
14,"$150,000-$199,999",2019,"2019",8173563,49077,"United States","01000US","united-states",0.06768657251850442
15,"$200,000+",2019,"2019",9264390,54033.00000000001,"United States","01000US","united-states",0.07671988404257814
0,"< $10,000",2018,"2018",7584305,18464,"United States","01000US","united-states",0.06334500034945256
1,"$10,000-$14,999",2018,"2018",5507051,15243,"United States","01000US","united-states",0.04599553255300955
2,"$15,000-$19,999",2018,"2018",5488289,17043,"United States","01000US","united-states",0.045838830139728906
3,"$20,000-$24,999",2018,"2018",5658672,16600,"United States","01000US","united-states",0.04726188883720228
